<<<<<<< HEAD
Orig_COL	Previous_Name			IsMeanVar	IsStdevVar	ShorterVariableName		Units
51 		tGravityAcc-max()-Y 		FALSE 		FALSE 		tGrvAc_max_Y			grvity (g)
52 		tGravityAcc-max()-Z 		FALSE 		FALSE 		tGrvAc_max_Z			grvity (g)
53 		tGravityAcc-min()-X 		FALSE 		FALSE 		tGrvAc_min_X			grvity (g)
54 		tGravityAcc-min()-Y 		FALSE 		FALSE 		tGrvAc_min_Y			grvity (g)
55 		tGravityAcc-min()-Z 		FALSE 		FALSE 		tGrvAc_min_Z			grvity (g)
56 		tGravityAcc-sma() 		FALSE 		FALSE 		tGrvAc_sma			grvity (g)
57 		tGravityAcc-energy()-X 		FALSE 		FALSE 		tGrvAc_ergy_X			grvity (g)
58 		tGravityAcc-energy()-Y 		FALSE 		FALSE 		tGrvAc_ergy_Y			grvity (g)
59 		tGravityAcc-energy()-Z 		FALSE 		FALSE 		tGrvAc_ergy_Z			grvity (g)
60 		tGravityAcc-iqr()-X 		FALSE 		FALSE 		tGrvAc_iqr_X			grvity (g)
61 		tGravityAcc-iqr()-Y 		FALSE 		FALSE 		tGrvAc_iqr_Y			grvity (g)
62 		tGravityAcc-iqr()-Z 		FALSE 		FALSE 		tGrvAc_iqr_Z			grvity (g)
63 		tGravityAcc-entropy()-X 	FALSE 		FALSE 		tGrvAc_entrpy_X			grvity (g)
64 		tGravityAcc-entropy()-Y 	FALSE 		FALSE 		tGrvAc_entrpy_Y			grvity (g)
65 		tGravityAcc-entropy()-Z 	FALSE 		FALSE 		tGrvAc_entrpy_Z			grvity (g)
66 		tGravityAcc-arCoeff()-X,1 	FALSE 		FALSE 		tGrvAc_arCoeff_X.1		grvity (g)
67 		tGravityAcc-arCoeff()-X,2 	FALSE 		FALSE 		tGrvAc_arCoeff_X.2		grvity (g)
68 		tGravityAcc-arCoeff()-X,3 	FALSE 		FALSE 		tGrvAc_arCoeff_X.3		grvity (g)
69 		tGravityAcc-arCoeff()-X,4 	FALSE 		FALSE 		tGrvAc_arCoeff_X.4		grvity (g)
70 		tGravityAcc-arCoeff()-Y,1 	FALSE 		FALSE 		tGrvAc_arCoeff_Y.1		grvity (g)
71 		tGravityAcc-arCoeff()-Y,2 	FALSE 		FALSE 		tGrvAc_arCoeff_Y.2		grvity (g)
72  		tGravityAcc-arCoeff()-Y,3 	FALSE  		FALSE 		tGrvAc_arCoeff_Y.3		grvity (g)
73  		tGravityAcc-arCoeff()-Y,4 	FALSE  		FALSE 		tGrvAc_arCoeff_Y.4		grvity (g)
74  		tGravityAcc-arCoeff()-Z,1 	FALSE  		FALSE 		tGrvAc_arCoeff_Z.1		grvity (g)
75  		tGravityAcc-arCoeff()-Z,2 	FALSE  		FALSE 		tGrvAc_arCoeff_Z.2		grvity (g)
76  		tGravityAcc-arCoeff()-Z,3 	FALSE  		FALSE 		tGrvAc_arCoeff_Z.3		grvity (g)
77  		tGravityAcc-arCoeff()-Z,4 	FALSE  		FALSE 		tGrvAc_arCoeff_Z.4		grvity (g)
78  		tGravityAcc-correlation()-X,Y 	FALSE 		FALSE 		tGrvAc_corr_X.Y			grvity (g)
79  		tGravityAcc-correlation()-X,Z 	FALSE 		FALSE 		tGrvAc_corr_X.Z			grvity (g)
80  		tGravityAcc-correlation()-Y,Z 	FALSE 		FALSE 		tGrvAc_corr_Y.Z			grvity (g)
81  		tBodyAccJerk-mean()-X 		TRUE 		FALSE 		tBodAcJrk_mean_X		grvity (g)
82  		tBodyAccJerk-mean()-Y 		TRUE 		FALSE 		tBodAcJrk_mean_Y		grvity (g)
83  		tBodyAccJerk-mean()-Z 		TRUE 		FALSE 		tBodAcJrk_mean_Z		grvity (g)
84  		tBodyAccJerk-std()-X 		FALSE 		TRUE 		tBodAcJrk_std_X			grvity (g)
85  		tBodyAccJerk-std()-Y 		FALSE 		TRUE 		tBodAcJrk_std_Y			grvity (g)
86  		tBodyAccJerk-std()-Z 		FALSE 		TRUE 		tBodAcJrk_std_Z			grvity (g)
87  		tBodyAccJerk-mad()-X 		FALSE 		FALSE 		tBodAcJrk_mad_X			grvity (g)
88  		tBodyAccJerk-mad()-Y 		FALSE 		FALSE 		tBodAcJrk_mad_Y			grvity (g)
89  		tBodyAccJerk-mad()-Z 		FALSE 		FALSE 		tBodAcJrk_mad_Z			grvity (g)
90  		tBodyAccJerk-max()-X 		FALSE 		FALSE 		tBodAcJrk_max_X			grvity (g)
91  		tBodyAccJerk-max()-Y 		FALSE 		FALSE 		tBodAcJrk_max_Y			grvity (g)
92  		tBodyAccJerk-max()-Z 		FALSE 		FALSE 		tBodAcJrk_max_Z			grvity (g)
93  		tBodyAccJerk-min()-X 		FALSE 		FALSE 		tBodAcJrk_min_X			grvity (g)
94  		tBodyAccJerk-min()-Y 		FALSE 		FALSE 		tBodAcJrk_min_Y			grvity (g)
95  		tBodyAccJerk-min()-Z 		FALSE 		FALSE 		tBodAcJrk_min_Z			grvity (g)
96  		tBodyAccJerk-sma() 		FALSE 		FALSE 		tBodAcJrk_sma			grvity (g)
97  		tBodyAccJerk-energy()-X 	FALSE 		FALSE 		tBodAcJrk_ergy_X		grvity (g)
98  		tBodyAccJerk-energy()-Y 	FALSE 		FALSE 		tBodAcJrk_ergy_Y		grvity (g)
99  		tBodyAccJerk-energy()-Z 	FALSE 		FALSE 		tBodAcJrk_ergy_Z		grvity (g)
100  		tBodyAccJerk-iqr()-X 		FALSE 		FALSE 		tBodAcJrk_iqr_X			grvity (g)

Orig_COL	Previous_Name			IsMeanVar	IsStdevVar	ShorterVariableName		Units
--------	--------------------------	---------	----------	----------------------		-------
101  		tBodyAccJerk-iqr()-Y 		FALSE 		FALSE 		tBodAcJrk_iqr_Y			grvity (g)
102  		tBodyAccJerk-iqr()-Z 		FALSE 		FALSE 		tBodAcJrk_iqr_Z			grvity (g)
103 		tBodyAccJerk-entropy()-X 	FALSE 		FALSE 		tBodAcJrk_entrpy_X		grvity (g)
104 		tBodyAccJerk-entropy()-Y 	FALSE 		FALSE 		tBodAcJrk_entrpy_Y		grvity (g)
105 		tBodyAccJerk-entropy()-Z 	FALSE 		FALSE 		tBodAcJrk_entrpy_Z		grvity (g)
106 		tBodyAccJerk-arCoeff()-X,1 	FALSE 		FALSE 		tBodAcJrk_arCoeff_X.1		grvity (g)
107 		tBodyAccJerk-arCoeff()-X,2 	FALSE 		FALSE 		tBodAcJrk_arCoeff_X.2		grvity (g)
108 		tBodyAccJerk-arCoeff()-X,3 	FALSE 		FALSE 		tBodAcJrk_arCoeff_X.3		grvity (g)
109 		tBodyAccJerk-arCoeff()-X,4 	FALSE 		FALSE 		tBodAcJrk_arCoeff_X.4		grvity (g)
110 		tBodyAccJerk-arCoeff()-Y,1	FALSE 		FALSE 		tBodAcJrk_arCoeff_Y.1		grvity (g)
111 		tBodyAccJerk-arCoeff()-Y,2 	FALSE 		FALSE 		tBodAcJrk_arCoeff_Y.2		grvity (g)
112 		tBodyAccJerk-arCoeff()-Y,3 	FALSE 		FALSE 		tBodAcJrk_arCoeff_Y.3		grvity (g)
113 		tBodyAccJerk-arCoeff()-Y,4 	FALSE 		FALSE 		tBodAcJrk_arCoeff_Y.4		grvity (g)
114 		tBodyAccJerk-arCoeff()-Z,1 	FALSE 		FALSE 		tBodAcJrk_arCoeff_Z.1		grvity (g)
115 		tBodyAccJerk-arCoeff()-Z,2 	FALSE 		FALSE 		tBodAcJrk_arCoeff_Z.2		grvity (g)
116 		tBodyAccJerk-arCoeff()-Z,3 	FALSE 		FALSE 		tBodAcJrk_arCoeff_Z.3		grvity (g)
117 		tBodyAccJerk-arCoeff()-Z,4 	FALSE 		FALSE 		tBodAcJrk_arCoeff_Z.4		grvity (g)
118 		tBodyAccJerk-correlation()-X,Y	FALSE 		FALSE 		tBodAcJrk_corr_X.Y		grvity (g)
119 		tBodyAccJerk-correlation()-X,Z	FALSE 		FALSE 		tBodAcJrk_corr_X.Z		grvity (g)
120 		tBodyAccJerk-correlation()-Y,Z	FALSE 		FALSE 		tBodAcJrk_corr_Y.Z		grvity (g)
121 		tBodyGyro-mean()-X 		TRUE 		FALSE 		tBodGyro_mean_Y			rad/sec
123 		tBodyGyro-mean()-Z 		TRUE 		FALSE 		tBodGyro_mean_Z			rad/sec
124 		tBodyGyro-std()-X 		FALSE 		TRUE 		tBodGyro_std_X			rad/sec
125 		tBodyGyro-std()-Y 		FALSE 		TRUE 		tBodGyro_std_Y			rad/sec
126 		tBodyGyro-std()-Z 		FALSE 		TRUE 		tBodGyro_std_Z			rad/sec
127 		tBodyGyro-mad()-X 		FALSE 		FALSE 		tBodGyro_mad_X			rad/sec
128 		tBodyGyro-mad()-Y 		FALSE 		FALSE 		tBodGyro_mad_Y			rad/sec
129 		tBodyGyro-mad()-Z 		FALSE 		FALSE 		tBodGyro_mad_Z			rad/sec
130 		tBodyGyro-max()-X 		FALSE 		FALSE 		tBodGyro_max_X			rad/sec
131 		tBodyGyro-max()-Y 		FALSE 		FALSE 		tBodGyro_max_Y			rad/sec
132 		tBodyGyro-max()-Z 		FALSE 		FALSE 		tBodGyro_max_Z			rad/sec
133 		tBodyGyro-min()-X 		FALSE 		FALSE 		tBodGyro_min_X			rad/sec
134 		tBodyGyro-min()-Y 		FALSE 		FALSE 		tBodGyro_min_Y			rad/sec
135 		tBodyGyro-min()-Z 		FALSE 		FALSE 		tBodGyro_min_Z			rad/sec
136 		tBodyGyro-sma() 		FALSE 		FALSE 		tBodGyro_sma			rad/sec
137 		tBodyGyro-energy()-X 		FALSE 		FALSE 		tBodGyro_ergy_X			rad/sec
138 		tBodyGyro-energy()-Y 		FALSE 		FALSE 		tBodGyro_ergy_Y			rad/sec
139 		tBodyGyro-energy()-Z 		FALSE 		FALSE 		tBodGyro_ergy_Z			rad/sec
140 		tBodyGyro-iqr()-X 		FALSE 		FALSE 		tBodGyro_iqr_X			rad/sec
141 		tBodyGyro-iqr()-Y 		FALSE 		FALSE 		tBodGyro_iqr_Y			rad/sec
142 		tBodyGyro-iqr()-Z 		FALSE 		FALSE 		tBodGyro_iqr_Z			rad/sec
143 		tBodyGyro-entropy()-X 		FALSE 		FALSE 		tBodGyro_entrpy_X		rad/sec
144 		tBodyGyro-entropy()-Y 		FALSE 		FALSE 		tBodGyro_entrpy_Y		rad/sec
145 		tBodyGyro-entropy()-Z 		FALSE 		FALSE 		tBodGyro_entrpy_Z		rad/sec
146 		tBodyGyro-arCoeff()-X,1 	FALSE 		FALSE 		tBodGyro_arCoeff_X.1		rad/sec
147 		tBodyGyro-arCoeff()-X,2 	FALSE 		FALSE 		tBodGyro_arCoeff_X.2		rad/sec
148 		tBodyGyro-arCoeff()-X,3 	FALSE 		FALSE 		tBodGyro_arCoeff_X.3		rad/sec
149 		tBodyGyro-arCoeff()-X,4 	FALSE 		FALSE 		tBodGyro_arCoeff_X.4		rad/sec
150 		tBodyGyro-arCoeff()-Y,1 	FALSE 		FALSE 		tBodGyro_arCoeff_Y.1		rad/sec

Orig_COL	Previous_Name			IsMeanVar	IsStdevVar	ShorterVariableName		Units
--------	--------------------------	---------	----------	----------------------		-------
151 		tBodyGyro-arCoeff()-Y,2 	FALSE 		FALSE 		tBodGyro_arCoeff_Y.2		rad/sec
152 		tBodyGyro-arCoeff()-Y,3 	FALSE 		FALSE 		tBodGyro_arCoeff_Y.3		rad/sec
153 		tBodyGyro-arCoeff()-Y,4 	FALSE 		FALSE 		tBodGyro_arCoeff_Y.4		rad/sec
154 		tBodyGyro-arCoeff()-Z,1 	FALSE 		FALSE 		tBodGyro_arCoeff_Z.1		rad/sec
155 		tBodyGyro-arCoeff()-Z,2 	FALSE 		FALSE 		tBodGyro_arCoeff_Z.2		rad/sec
156 		tBodyGyro-arCoeff()-Z,3 	FALSE 		FALSE 		tBodGyro_arCoeff_Z.3		rad/sec
157 		tBodyGyro-arCoeff()-Z,4 	FALSE 		FALSE 		tBodGyro_arCoeff_Z.4		rad/sec
158 		tBodyGyro-correlation()-X,Y 	FALSE 		FALSE 		tBodGyro_corr_X.Y		rad/sec
159 		tBodyGyro-correlation()-X,Z 	FALSE 		FALSE 		tBodGyro_corr_X.Z		rad/sec
160 		tBodyGyro-correlation()-Y,Z 	FALSE 		FALSE 		tBodGyro_corr_Y.Z		rad/sec
161 		tBodyGyroJerk-mean()-X 		TRUE 		FALSE 		tBodGyroJrk_mean_X		rad/sec
162 		tBodyGyroJerk-mean()-Y 		TRUE 		FALSE 		tBodGyroJrk_mean_Y		rad/sec
163 		tBodyGyroJerk-mean()-Z 		TRUE 		FALSE 		tBodGyroJrk_mean_Z		rad/sec
164 		tBodyGyroJerk-std()-X 	 	FALSE 		TRUE 		tBodGyroJrk_std_X		rad/sec
165 		tBodyGyroJerk-std()-Y 	 	FALSE 		TRUE 		tBodGyroJrk_std_Y		rad/sec
166 		tBodyGyroJerk-std()-Z 	 	FALSE 		TRUE 		tBodGyroJrk_std_Z		rad/sec
167 		tBodyGyroJerk-mad()-X 	 	FALSE 		FALSE 		tBodGyroJrk_mad_X		rad/sec
168 		tBodyGyroJerk-mad()-Y 	 	FALSE 		FALSE 		tBodGyroJrk_mad_Y		rad/sec
169 		tBodyGyroJerk-mad()-Z 	 	FALSE 		FALSE 		tBodGyroJrk_mad_Z		rad/sec
170 		tBodyGyroJerk-max()-X 	 	FALSE 		FALSE 		tBodGyroJrk_max_X		rad/sec
171 		tBodyGyroJerk-max()-Y 	 	FALSE 		FALSE 		tBodGyroJrk_max_Y		rad/sec
172 		tBodyGyroJerk-max()-Z 	 	FALSE 		FALSE 		tBodGyroJrk_max_Z		rad/sec
173 		tBodyGyroJerk-min()-X 	 	FALSE 		FALSE 		tBodGyroJrk_min_X		rad/sec
174 		tBodyGyroJerk-min()-Y 	 	FALSE 		FALSE 		tBodGyroJrk_min_Y		rad/sec
175 		tBodyGyroJerk-min()-Z 	 	FALSE 		FALSE 		tBodGyroJrk_min_Z		rad/sec
176 		tBodyGyroJerk-sma() 	 	FALSE 		FALSE 		tBodGyroJrk_sma			rad/sec
177 		tBodyGyroJerk-energy()-X 	FALSE 		FALSE 		tBodGyroJrk_ergy_X		rad/sec
178 		tBodyGyroJerk-energy()-Y 	FALSE 		FALSE 		tBodGyroJrk_ergy_Y		rad/sec
179 		tBodyGyroJerk-energy()-Z 	FALSE 		FALSE 		tBodGyroJrk_ergy_Z		rad/sec
180 		tBodyGyroJerk-iqr()-X 	 	FALSE 		FALSE 		tBodGyroJrk_iqr_X		rad/sec
181 		tBodyGyroJerk-iqr()-Y 	 	FALSE 		FALSE 		tBodGyroJrk_iqr_Y		rad/sec
182 		tBodyGyroJerk-iqr()-Z 	 	FALSE 		FALSE 		tBodGyroJrk_iqr_Z		rad/sec
183 		tBodyGyroJerk-entropy()-X 	FALSE 		FALSE 		tBodGyroJrk_entrpy_X		rad/sec
184 		tBodyGyroJerk-entropy()-Y 	FALSE 		FALSE 		tBodGyroJrk_entrpy_Y		rad/sec
185 		tBodyGyroJerk-entropy()-Z 	FALSE 		FALSE 		tBodGyroJrk_entrpy_Z		rad/sec
186 		tBodyGyroJerk-arCoeff()-X,1 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_X.1		rad/sec
187 		tBodyGyroJerk-arCoeff()-X,2 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_X.2		rad/sec
188 		tBodyGyroJerk-arCoeff()-X,3 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_X.3		rad/sec
189 		tBodyGyroJerk-arCoeff()-X,4 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_X.4		rad/sec
190 		tBodyGyroJerk-arCoeff()-Y,1 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_Y.1		rad/sec
191 		tBodyGyroJerk-arCoeff()-Y,2 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_Y.2		rad/sec
192 		tBodyGyroJerk-arCoeff()-Y,3 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_Y.3		rad/sec
193 		tBodyGyroJerk-arCoeff()-Y,4 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_Y.4		rad/sec
194 		tBodyGyroJerk-arCoeff()-Z,1 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_Z.1		rad/sec
195 		tBodyGyroJerk-arCoeff()-Z,2 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_Z.2		rad/sec
196 		tBodyGyroJerk-arCoeff()-Z,3 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_Z.3		rad/sec
197 		tBodyGyroJerk-arCoeff()-Z,4 	FALSE 		FALSE 		tBodGyroJrk_arCoeff_Z.4		rad/sec
198 		tBodyGyroJerk-correlation()-X,Y FALSE 		FALSE 		tBodGyroJrk_corr_X.Y		rad/sec
199 		tBodyGyroJerk-correlation()-X,Z FALSE 		FALSE 		tBodGyroJrk_corr_X.Z		rad/sec
200 		tBodyGyroJerk-correlation()-Y,Z FALSE 		FALSE 		tBodGyroJrk_corr_Y.Z		rad/sec

Orig_COL	Previous_Name			IsMeanVar	IsStdevVar	ShorterVariableName		Units
--------	--------------------------	---------	----------	----------------------		-------
201 		tBodyAccMag-mean() 		TRUE 		FALSE 		tBodAcMag_mean			grvity (g)
202 		tBodyAccMag-std() 	 	FALSE 		TRUE 		tBodAcMag_std			grvity (g)
203 		tBodyAccMag-mad() 	 	FALSE		FALSE 		tBodAcMag_mad			grvity (g)
204 		tBodyAccMag-max() 	 	FALSE		FALSE 		tBodAcMag_max			grvity (g)
205 		tBodyAccMag-min() 	 	FALSE		FALSE 		tBodAcMag_min			grvity (g)
206 		tBodyAccMag-sma() 	 	FALSE		FALSE 		tBodAcMag_sma			grvity (g)
207 		tBodyAccMag-energy() 	 	FALSE		FALSE 		tBodAcMag_ergy			grvity (g)
208 		tBodyAccMag-iqr() 	 	FALSE		FALSE 		tBodAcMag_iqr			grvity (g)
209 		tBodyAccMag-entropy() 	 	FALSE		FALSE 		tBodAcMag_entrpy		grvity (g)
210 		tBodyAccMag-arCoeff()1 	 	FALSE		FALSE 		tBodAcMag_arCoeff1		grvity (g)
211 		tBodyAccMag-arCoeff()2 	 	FALSE		FALSE 		tBodAcMag_arCoeff2		grvity (g)
212 		tBodyAccMag-arCoeff()3 	 	FALSE		FALSE 		tBodAcMag_arCoeff3		grvity (g)
213 		tBodyAccMag-arCoeff()4 	 	FALSE		FALSE 		tBodAcMag_arCoeff4		grvity (g)
214 		tGravityAccMag-mean()		TRUE		FALSE 		tGrvAcMag_mean			grvity (g)
215 		tGravityAccMag-std() 	 	FALSE 		TRUE 		tGrvAcMag_std			grvity (g)
216 		tGravityAccMag-mad() 	 	FALSE		FALSE 		tGrvAcMag_mad			grvity (g)
217 		tGravityAccMag-max() 	 	FALSE		FALSE 		tGrvAcMag_max			grvity (g)
218 		tGravityAccMag-min() 	 	FALSE		FALSE 		tGrvAcMag_min			grvity (g)
219 		tGravityAccMag-sma() 	 	FALSE		FALSE 		tGrvAcMag_sma			grvity (g)
220 		tGravityAccMag-energy() 	FALSE		FALSE 		tGrvAcMag_ergy			grvity (g)
221 		tGravityAccMag-iqr() 	 	FALSE		FALSE 		tGrvAcMag_iqr			grvity (g)
222 		tGravityAccMag-entropy() 	FALSE		FALSE 		tGrvAcMag_entrpy		grvity (g)
223 		tGravityAccMag-arCoeff()1 	FALSE		FALSE 		tGrvAcMag_arCoeff1		grvity (g)
224 		tGravityAccMag-arCoeff()2 	FALSE		FALSE 		tGrvAcMag_arCoeff2		grvity (g)
225 		tGravityAccMag-arCoeff()3 	FALSE		FALSE 		tGrvAcMag_arCoeff3		grvity (g)
226 		tGravityAccMag-arCoeff()4 	FALSE		FALSE 		tGrvAcMag_arCoeff4		grvity (g)
227 		tBodyAccJerkMag-mean()		TRUE		FALSE 		tBodAcJrkMag_mean		grvity (g)
228 		tBodyAccJerkMag-std() 	 	FALSE 		TRUE 		tBodAcJrkMag_std		grvity (g)
229 		tBodyAccJerkMag-mad() 	 	FALSE		FALSE 		tBodAcJrkMag_mad		grvity (g)
230 		tBodyAccJerkMag-max() 	 	FALSE		FALSE 		tBodAcJrkMag_max		grvity (g)
231 		tBodyAccJerkMag-min() 	 	FALSE		FALSE 		tBodAcJrkMag_min		grvity (g)
232 		tBodyAccJerkMag-sma() 	 	FALSE		FALSE 		tBodAcJrkMag_sma		grvity (g)
233 		tBodyAccJerkMag-energy() 	FALSE		FALSE 		tBodAcJrkMag_ergy		grvity (g)
234 		tBodyAccJerkMag-iqr() 	 	FALSE		FALSE 		tBodAcJrkMag_iqr		grvity (g)
235 		tBodyAccJerkMag-entropy() 	FALSE		FALSE 		tBodAcJrkMag_entrpy		grvity (g)
236 		tBodyAccJerkMag-arCoeff()1 	FALSE		FALSE 		tBodAcJrkMag_arCoeff1		grvity (g)
237 		tBodyAccJerkMag-arCoeff()2 	FALSE		FALSE 		tBodAcJrkMag_arCoeff2		grvity (g)
238 		tBodyAccJerkMag-arCoeff()3 	FALSE		FALSE 		tBodAcJrkMag_arCoeff3		grvity (g)
239 		tBodyAccJerkMag-arCoeff()4 	FALSE		FALSE 		tBodAcJrkMag_arCoeff4		grvity (g)
240 		tBodyGyroMag-mean()  		TRUE		FALSE 		tBodGyroMag_mean		rad/sec
241 		tBodyGyroMag-std() 	 	FALSE 		TRUE 		tBodGyroMag_std			rad/sec
242 		tBodyGyroMag-mad() 	 	FALSE		FALSE 		tBodGyroMag_mad			rad/sec
243 		tBodyGyroMag-max() 	 	FALSE		FALSE 		tBodGyroMag_max			rad/sec
244 		tBodyGyroMag-min() 	 	FALSE		FALSE 		tBodGyroMag_min			rad/sec
245 		tBodyGyroMag-sma() 	 	FALSE		FALSE 		tBodGyroMag_sma			rad/sec
246 		tBodyGyroMag-energy() 	 	FALSE		FALSE 		tBodGyroMag_ergy		rad/sec
247 		tBodyGyroMag-iqr() 	 	FALSE		FALSE 		tBodGyroMag_iqr			rad/sec
248 		tBodyGyroMag-entropy() 	 	FALSE		FALSE 		tBodGyroMag_entrpy		rad/sec
249 		tBodyGyroMag-arCoeff()1 	FALSE		FALSE 		tBodGyroMag_arCoeff1		rad/sec
250 		tBodyGyroMag-arCoeff()2 	FALSE		FALSE 		tBodGyroMag_arCoeff2		rad/sec

